,digital_tools,work_methods,outstanding_knowledge_community,soft_skills,key,digital_tools_1,digital_tools_2,digital_tools_3,work_methods_1,outstanding_knowledge_community_1,soft_skills_1,soft_skills_2
19,pos,remote,finance,adaptability,education,python,illustrator,oracle,in_house,"[""a""]",empathy,integrity
21,erp,remote,education,cultural_awareness,information_technology_and_software,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
22,plataforma interacpedia,remote,management_leadership,empathy,agriculture,autodesk,reuters,acrobat,in_house,finance,empathy,focus
23,cadence,remote,technology,assertive_communication,technology,synopsys,mentor graphics,spice,in_house,work_methods,creativity,problem-solving
24,autocad,remote,education,cultural_awareness,others,manhattan associates,bloomberg,artificial intelligence software,in_house,education,innovation,integrity
25,tmall,remote,marketing_sales,cultural_awareness,technology,alibaba cloud,maxcompute,ant financial,in_house,customer_service,creativity,assertive_communication
26,microsoft office suite,remote,marketing_sales,punctuality,electrical,adobe creative suite,sap,oracle,in_house,processes,problem_solving,assertive_communication
27,plataforma interacpedia,remote,management_leadership,empathy,agriculture,autodesk,reuters,acrobat,in_house,finance,empathy,focus
28,erp,remote,education,cultural_awareness,information_technology_and_software,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
29,pos,remote,customer_service,emotional_intelligence,commerce,sap,aws,salesforce,in_house,marketing_sales,decision_making,critical_thinking
30,zoho crm,remote,technology,leadership,telecommunications,prtg network monitor,sap concur,freshdesk,in_house,finance,teamwork,innovation
31,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
32,autocad,remote,education,cultural_awareness,others,manhattan associates,bloomberg,artificial intelligence software,in_house,education,innovation,integrity
33,intranet,remote,finance,ease_adaptation,food_and_beverages,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
34,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
35,autocad,remote,education,cultural_awareness,others,manhattan associates,bloomberg,artificial intelligence software,in_house,education,innovation,integrity
36,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
37,oracle,remote,technology,problem_solving,technology,imb,aws,salesforce,in_house,finance,decision_making,teamwork
38,microsoft office,remote,finance,teamwork,financial,salesforce,oracle,google workspace,in_house,economics,leadership,adaptability
39,pos,remote,finance,emotional_intelligence,social_security,revit,teams,oracle,in_house,education,innovation,integrity
40,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
41,microsoft office,remote,technology,assertive_communication,electrical,adobe creative suite,sap,oracle,in_house,finance,problem_solving,teamwork
43,microsoft office,remote,technology,critical_thinking,technology,google suite,adobe creative suite,slack,in_house,finance,problem_solving,creativity
44,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
45,intranet,remote,finance,ease_adaptation,construction,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
46,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
47,intranet,remote,finance,ease_adaptation,food_and_beverages,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
48,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
49,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
50,pos,remote,finance,adaptability,education,python,illustrator,oracle,in_house,"[""a""]",empathy,integrity
52,plataforma interacpedia,remote,management_leadership,empathy,agriculture,autodesk,reuters,acrobat,in_house,finance,empathy,focus
53,intranet,in_house,management_leadership,punctuality,agriculture,página web,redes sociales,herramientas de pmo,virtual,management_leadership,decision_making,integrity
54,autodesk,remote,finance,flexibility,textile_and_clothing,illustrator,data analysis software,cocoa touch,in_house,"[""a""]",adaptability,adaptability
55,erp,remote,education,cultural_awareness,associations_and_cooperatives,oracle,aladdin,medical equipment,in_house,"[""a""]",empathy,ease_adaptation
56,erp,remote,education,cultural_awareness,chemical,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
57,autocad,remote,"[""a""]",ease_adaptation,commerce,illustrator,workday,"[""a""]",in_house,finance,decision_making,ease_adaptation
58,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
59,google workspace,remote,technology,critical_thinking,technology,python,c,google keep,in_house,education,problem_solving,creativity
60,intranet,remote,finance,ease_adaptation,food_and_beverages,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
61,oracle cloud,remote,technology,assertive_communication,technology,microsoft azure,amazon web services,google cloud platform,in_house,work_methods,problem_solving,teamwork
63,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
64,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
65,microsoft office,remote,education,problem_solving,health,google workspace,salesforce,sap,in_house,customer_service,critical_thinking,teamwork
66,adobe creative cloud,remote,accounting,decision_making,financial,sap,aws,salesforce,in_house,finance,assertive_communication,problem_solving
67,office 365,in_house,management_leadership,teamwork,services,adobe,skype empresarial,aplicativos para la gestión de proyectos.,mixed,education,leadership,communication
68,teams,remote,marketing_sales,cultural_awareness,health,alibaba cloud,bloomberg,acrobat,in_house,finance,assertive_communication,focus
69,fedex ship manager,remote,education,cultural_awareness,plastics,revit,workday,acrobat,in_house,management_leadership,decision_making,innovation
70,intranet,remote,finance,ease_adaptation,construction,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
71,autocad,remote,"[""a""]",ease_adaptation,commerce,illustrator,workday,"[""a""]",in_house,finance,decision_making,ease_adaptation
72,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
73,erp,remote,education,"[""a""]",automotive,revit,aladdin,oracle,in_house,education,innovation,ease_adaptation
74,plataforma interacpedia,remote,management_leadership,empathy,agriculture,autodesk,reuters,acrobat,in_house,finance,empathy,focus
75,erp,remote,management_leadership,cultural_awareness,environment,manhattan associates,aws,research platforms,in_house,management_leadership,adaptability,focus
76,erp,remote,education,cultural_awareness,information_technology_and_software,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
77,autocad,remote,"[""a""]",ease_adaptation,commerce,illustrator,workday,"[""a""]",in_house,finance,decision_making,ease_adaptation
78,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
80,erp,remote,education,cultural_awareness,information_technology_and_software,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
81,sap,remote,accounting,assertive_communication,others,oracle,ibm,microsoft office,in_house,finance,teamwork,problem_solving
82,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
83,erp,remote,"[""a""]",ease_adaptation,transport_and_storage,planner,aladdin,acrobat,in_house,education,adaptability,punctuality
84,autodesk,remote,finance,flexibility,textile_and_clothing,illustrator,data analysis software,cocoa touch,in_house,"[""a""]",adaptability,adaptability
86,autocad,remote,education,cultural_awareness,others,manhattan associates,bloomberg,artificial intelligence software,in_house,education,innovation,integrity
87,pos,remote,finance,adaptability,education,python,illustrator,oracle,in_house,"[""a""]",empathy,integrity
88,erp,remote,education,ease_adaptation,public,illustrator,illustrator,"[""a""]",in_house,management_leadership,critical_thinking,focus
89,erp,remote,education,"[""a""]",automotive,revit,aladdin,oracle,in_house,education,innovation,ease_adaptation
90,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
91,autocad,remote,education,cultural_awareness,others,manhattan associates,bloomberg,artificial intelligence software,in_house,education,innovation,integrity
92,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
93,erp,remote,education,"[""a""]",automotive,revit,aladdin,oracle,in_house,education,innovation,ease_adaptation
94,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
95,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
96,autodesk,in_house,finance,flexibility,textile_and_clothing,illustrator,data analysis software,cocoa touch,virtual,"[""a""]",adaptability,adaptability
97,autocad,remote,education,cultural_awareness,others,manhattan associates,bloomberg,artificial intelligence software,in_house,education,innovation,integrity
98,autocad,remote,education,cultural_awareness,others,manhattan associates,bloomberg,artificial intelligence software,in_house,education,innovation,integrity
99,intranet,remote,finance,ease_adaptation,food_and_beverages,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
100,fedex ship manager,remote,processes,assertive_communication,transport_and_storage,manhattan associates,route4me,fishbowl,in_house,customer_service,teamwork,problem_solving
101,intranet,remote,finance,ease_adaptation,food_and_beverages,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
102,sap,remote,management_leadership,teamwork,health,oracle,ibm,tableau,in_house,education,assertive_communication,problem_solving
103,webex,remote,processes,problem_solving,commerce,sharepoint,microsoft dynamics,hubspot,in_house,technology,leadership,creativity
104,adobe,remote,processes,critical_thinking,technology,autodesk,solidworks,matlab,in_house,finance,time_management,leadership
105,erp,remote,education,cultural_awareness,information_technology_and_software,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
106,intranet,remote,finance,ease_adaptation,food_and_beverages,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
107,erp,remote,education,"[""a""]",automotive,revit,aladdin,oracle,in_house,education,innovation,ease_adaptation
108,erp,remote,"[""a""]",ease_adaptation,transport_and_storage,planner,aladdin,acrobat,in_house,education,adaptability,punctuality
109,salesforce,remote,accounting,problem resolution,health,sap,aws,acrobat,in_house,technology,teamwork,innovation
110,pos,remote,finance,assertive_communication,commerce,salesforce,sap,research platforms,in_house,processes,teamwork,leadership
111,autodesk,remote,finance,flexibility,textile_and_clothing,illustrator,data analysis software,cocoa touch,in_house,"[""a""]",adaptability,adaptability
112,plataforma interacpedia,remote,management_leadership,empathy,agriculture,autodesk,reuters,acrobat,in_house,finance,empathy,focus
113,plataforma interacpedia,remote,management_leadership,empathy,agriculture,autodesk,reuters,acrobat,in_house,finance,empathy,focus
114,office 365,in_house,marketing_sales,communication,agriculture,getabstrac,todo,skype,mixed,management_leadership,teamwork,leadership
115,pos,remote,finance,adaptability,education,python,illustrator,oracle,in_house,"[""a""]",empathy,integrity
116,confluence,remote,finance,teamwork,financial,sap,adobe,aws,in_house,marketing_sales,innovation,assertive_comunication
117,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
118,g-suite,mixed,marketing_sales,ease_adaptation,education,office 365,google calendar,google drive,in_house,economy,fast_learning,communication
119,fedex ship manager,remote,education,cultural_awareness,plastics,revit,workday,acrobat,in_house,management_leadership,decision_making,innovation
120,pos,remote,finance,adaptability,education,python,illustrator,oracle,in_house,"[""a""]",empathy,integrity
121,office 365,in_house,technology,ease_adaptation,financial,workplace,teams,acrobat,virtual,management_leadership,collaboration,leadership
122,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
123,autodesk,remote,finance,flexibility,textile_and_clothing,illustrator,data analysis software,cocoa touch,in_house,"[""a""]",adaptability,adaptability
124,autocad,remote,education,cultural_awareness,others,manhattan associates,bloomberg,artificial intelligence software,in_house,education,innovation,integrity
125,erp,remote,technology,teamwork,health,scada,plcs,solidworks,in_house,work_methods,critical_thinking,work_ethic
126,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
127,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
128,computers,remote,finance,assertive_communication,health,health management software,electronic health record systems,medical equipment,in_house,technology,teamwork,problem_solving
129,pos,remote,finance,adaptability,education,python,illustrator,oracle,in_house,"[""a""]",empathy,integrity
130,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
131,photoshop,remote,technology,creativity,technology,illustrator,indesign,acrobat,in_house,customer_service,assertive_communication,problem_solving
132,intranet,remote,finance,ease_adaptation,food_and_beverages,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
133,google suite,remote,technology,flexibility,others,salesforce,amazon web services,adobe creative cloud,in_house,accounting,adaptability,problem_solving
134,google meet,remote,finance,critical_thinking,technology,google hangouts,google chat,google cloud platform,in_house,accounting,problem_solving,creativity
135,erp,remote,education,cultural_awareness,pharmaceutical,manhattan associates,adobe,google cloud platform,in_house,"[""a""]",adaptability,ease_adaptation
136,erp,remote,education,ease_adaptation,public,illustrator,illustrator,"[""a""]",in_house,management_leadership,critical_thinking,focus
137,catia,remote,processes,creativity,automotive,nx,simulia abaqus,ansys,in_house,marketing_sales,collaboration,teamwork
138,cisco network assistant,remote,technology,assertive_communication,technology,cisco networking academy,cisco packet tracer,cisco ios,in_house,management_leadership,teamwork,problem_solving
139,autocad,remote,"[""a""]",ease_adaptation,financial,illustrator,workday,"[""a""]",in_house,finance,decision_making,ease_adaptation
140,jenkins,remote,technology,leadership,telecommunications,webex teams,solarwinds network performance monitor,palo alto networks,in_house,finance,teamwork,innovation
141,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
142,erp,remote,education,"[""a""]",mining_and_petroleum,revit,aladdin,oracle,in_house,education,innovation,ease_adaptation
143,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
144,intranet,remote,finance,ease_adaptation,construction,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
145,intranet,remote,finance,ease_adaptation,construction,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
146,autocad,remote,"[""a""]",ease_adaptation,commerce,illustrator,workday,"[""a""]",in_house,finance,decision_making,ease_adaptation
147,intranet,remote,finance,ease_adaptation,food_and_beverages,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
148,autocad,remote,education,cultural_awareness,others,manhattan associates,bloomberg,artificial intelligence software,in_house,education,innovation,integrity
149,autodesk,remote,finance,flexibility,textile_and_clothing,illustrator,data analysis software,cocoa touch,in_house,"[""a""]",adaptability,adaptability
150,pos,remote,finance,adaptability,education,python,illustrator,oracle,in_house,"[""a""]",empathy,integrity
151,erp,remote,"[""a""]",ease_adaptation,transport_and_storage,planner,aladdin,acrobat,in_house,education,adaptability,punctuality
152,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
153,adobe creative suite,remote,technology,flexibility,telecommunications,photoshop,illustrator,after effects,in_house,customer_service,teamwork,adaptability
154,ibm watson,remote,marketing_sales,time_management,health,adobe creative cloud,illustrator,salesforce,in_house,finance,leadership,integrity
155,autodesk,remote,finance,flexibility,textile_and_clothing,illustrator,data analysis software,cocoa touch,in_house,"[""a""]",adaptability,adaptability
156,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
157,erp,remote,"[""a""]",ease_adaptation,transport_and_storage,planner,aladdin,acrobat,in_house,education,adaptability,punctuality
158,plataforma interacpedia,remote,management_leadership,empathy,agriculture,autodesk,reuters,acrobat,in_house,finance,empathy,focus
159,asset management systems,remote,finance,teamwork,financial,accounting software,e-commerce platforms,salesforce,in_house,economics,leadership,innovation
160,labware,remote,economy,adaptability,electronic,waters,thermo fisher scientific,agilent technologies,in_house,technology,creativity,innovation
161,sap,remote,technology,emotional_intelligence,health,tableau,adobe creative suite,oracle,in_house,marketing_sales,empathy,patience
162,pos,remote,finance,emotional_intelligence,metallurgical,revit,teams,oracle,in_house,education,innovation,integrity
163,autodesk,remote,finance,flexibility,textile_and_clothing,illustrator,data analysis software,cocoa touch,in_house,"[""a""]",adaptability,adaptability
164,autodesk,remote,finance,flexibility,textile_and_clothing,illustrator,data analysis software,cocoa touch,in_house,"[""a""]",adaptability,adaptability
165,intranet,remote,education,cultural_awareness,services,planner,bloomberg,artificial intelligence software,in_house,management_leadership,empathy,adaptability
166,salesforce,remote,finance,teamwork,financial,sap,oracle,ibm,in_house,technology,creativity,assertive_comunication
167,predix,remote,finance,flexibility,technology,leap manufacturing,ge digital twin,grid iq solutions,in_house,processes,adaptability,punctuality
168,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
169,intranet,remote,finance,ease_adaptation,construction,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
170,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
171,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
172,erp,remote,education,cultural_awareness,information_technology_and_software,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
173,intranet,remote,education,cultural_awareness,services,planner,bloomberg,artificial intelligence software,in_house,management_leadership,empathy,adaptability
174,autocad,remote,education,cultural_awareness,others,manhattan associates,bloomberg,artificial intelligence software,in_house,education,innovation,integrity
175,plataforma interacpedia,remote,management_leadership,empathy,agriculture,autodesk,reuters,acrobat,in_house,finance,empathy,focus
176,erp,remote,education,ease_adaptation,public,illustrator,illustrator,"[""a""]",in_house,management_leadership,critical_thinking,focus
177,todoist,in_house,marketing_sales,flexibility,plastics,memail,slack,"[""a""]",in_house,technology,patience,innovation
178,intranet,remote,finance,ease_adaptation,construction,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
179,autocad,remote,"[""a""]",ease_adaptation,commerce,illustrator,workday,"[""a""]",in_house,finance,decision_making,ease_adaptation
180,project management,remote,finance,decision_making,telecommunications,collaboration software,data analysis software,artificial intelligence software,in_house,technology,punctuality,responsability
182,intranet,remote,finance,ease_adaptation,food_and_beverages,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
183,intranet,remote,finance,ease_adaptation,food_and_beverages,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
184,autocad,remote,education,cultural_awareness,others,manhattan associates,bloomberg,artificial intelligence software,in_house,education,innovation,integrity
186,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
187,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
188,teams,remote,education,ease_adaptation,publishing,oracle,google workspace,google cloud platform,in_house,"[""a""]",adaptability,focus
189,autocad,remote,"[""a""]",ease_adaptation,financial,illustrator,workday,"[""a""]",in_house,finance,decision_making,ease_adaptation
190,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
191,teams,in_house,marketing_sales,ease_adaptation,textile_and_clothing,office 365,data analysis software,artificial intelligence software,in_house,technology,collaboration,assertive_communication
192,tableau,remote,marketing_sales,collaboration,food_and_beverages,adobe,microsoft office,google workspace,in_house,finance,problem_solving,critical_thinking
193,intranet,remote,finance,ease_adaptation,food_and_beverages,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
194,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
195,intranet,remote,finance,ease_adaptation,food_and_beverages,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
196,plataforma interacpedia,remote,management_leadership,empathy,agriculture,autodesk,reuters,acrobat,in_house,finance,empathy,focus
197,intranet,remote,finance,ease_adaptation,food_and_beverages,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
198,erp,remote,education,ease_adaptation,public,illustrator,illustrator,"[""a""]",in_house,management_leadership,critical_thinking,focus
199,microsoft office,remote,finance,adaptability,financial,adobe creative suite,salesforce,google analytics,in_house,accounting,problem_solving,critical_thinking
200,teams,remote,education,cultural_awareness,beauty_and_esthetics,workplace,red hat,oracle,in_house,management_leadership,decision_making,integrity
201,adobe creative cloud,remote,processes,fast_learning,pharmaceutical,sap,aws,salesforce,in_house,marketing_sales,problem_solving,decision_making
203,sap,remote,accounting,teamwork,financial,oracle,bloomberg,reuters,in_house,finance,problem_solving,emotional_intelligence
204,xcode,remote,marketing_sales,creativity,technology,swift,objective-c,cocoa touch,in_house,finance,work_ethic,problem_solving
205,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
206,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
207,erp,remote,education,ease_adaptation,public,illustrator,illustrator,"[""a""]",in_house,management_leadership,critical_thinking,focus
208,autocad,remote,education,cultural_awareness,others,manhattan associates,bloomberg,artificial intelligence software,in_house,education,innovation,integrity
209,catia,remote,education,flexibility,automotive,siemens nx,ls-dyna,onstar,in_house,accounting,adaptability,organization
210,teams,remote,education,ease_adaptation,publishing,oracle,google workspace,google cloud platform,in_house,"[""a""]",adaptability,focus
211,ibm cloud,remote,technology,assertive_communication,technology,watson,red hat,linux,in_house,education,teamwork,problem_solving
212,autodesk,remote,processes,assertive_communication,automotive,solidworks,route4me,fishbowl,in_house,management_leadership,problem_solving,teamwork
